chapter,verse,sanskrit,hindi,english,explanation,emotion,source
17,8.0,आयुःसत्त्वबलारोग्यसुखप्रीतिविवर्धनाः,"जो खाना आयु, बल, सेहत और खुशी बढ़ाएं","Foods that increase life, strength, health and happiness","स्वस्थ रहना है तो सात्विक खाना खाओ - पौष्टिक, ताजा, हल्का",general,Bhagavad Gita
13,8.0,अमानित्वमदम्भित्वमहिंसा क्षान्तिरार्जवम्,"विनम्रता, अहिंसा, धैर्य और सरलता - यही ज्ञान है","Humility, non-violence, patience, simplicity - these are knowledge","अच्छे जीवन के ये गुण - नम्रता, अहिंसा, धैर्य, सरलता अपनाओ",general,Bhagavad Gita
2,48.0,योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय,"योग में स्थित होकर कर्म करो, आसक्ति छोड़कर","Perform actions staying in yoga, abandoning attachment","जीवन का मूल मंत्र - कर्तव्य करो, फल की चिंता मत करो",general,Bhagavad Gita
1,1.1,धृतराष्ट्र उवाच । धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥...,"धृतराष्ट्र बोले- हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छावाले मेरे और पाण्डु के पुत्रों ने क्या किया?","Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings.","Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings.",general,Bhagavad Gita
1,1.2,सञ्जय उवाच । दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥ १.२ ...,संजय बोले- उस समय राजा दुर्योधन ने व्यूहरचनायुक्त पाण्डवों की सेना को देखा और द्रोणाचार्य के पास जाकर यह वचन कहा|,"Sanjaya explained: Now seeing that the army of the PANDAVAS was set up properly, the Price DURYODHANA called his teacher, DRONA, to his side and spoke these words:","Sanjaya explained: Now seeing that the army of the PANDAVAS was set up properly, the Price DURYODHANA called his teacher, DRONA, to his side and spoke these words:",general,Bhagavad Gita
1,1.3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् । व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ १.३ ॥,हे आचार्य! आपके बुद्धिमान्‌ शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डुपुत्रों की इस बड़ी भारी सेना को देखिए|,"Behold O, Master, the mighty army of the sons of PANDU, led by the son of DRUPADA, your talented disciple.","Behold O, Master, the mighty army of the sons of PANDU, led by the son of DRUPADA, your talented disciple.",general,Bhagavad Gita
1,1.4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि । युयुधानो विराटश्च द्रुपदश्च महारथः ॥ १.४ ॥,"इस सेना में बड़े-बड़े धनुषों वाले तथा युद्ध में भीम और अर्जुन के समान शूरवीर सात्यकि और विराट तथा महारथी राजा द्रुपद, धृष्टकेतु और चेकितान तथा बलवान काशिराज, पुरुजित, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य, पराक्रमी युधामन्यु तथा बलवान उत्तमौजा, सुभद्रापुत्र अभिमन्यु एवं द्रौपदी के पाँचों पुत्र- ये सभी महारथी हैं","Present here are the mighty archers, peers or friends, in warfare, of ARJUNA and BHIMA. Their names are: YUYUDHANA, VIRATA and DRUPADA, the great chariot-warrior. Other great warriors were also present on the battlefield: DHRSHTAKEUT, CHEKITANA and the brave and noble King of Kasi, KUNTIBHIJA and SAIBYA; these are among the great warriors. Other courageous and great chariot-warriors were: YUDHAMANYU, the brave UTTAMAUJA, SAUBHADRA, and the sons of DRAUPADI.","Present here are the mighty archers, peers or friends, in warfare, of ARJUNA and BHIMA. Their names are: YUYUDHANA, VIRATA and DRUPADA, the great chariot-warrior. Other great warriors were also present on the battlefield: DHRSHTAKEUT, CHEKITANA and the brave and noble King of Kasi, KUNTIBHIJA and SAIBYA; these are among the great warriors. Other courageous and great chariot-warriors were: YUDHAMANYU, the brave UTTAMAUJA, SAUBHADRA, and the sons of DRAUPADI.",motivation,Bhagavad Gita
1,1.5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् । पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ १.५ ॥,"धृष्टकेतु, चेकिताना, और काशी के बहादुर राजा, पुरुजीत और कुंतीभोज और सैब्य, सबसे अच्छे पुरुष।","Dhrishtaketu, Chekitana, and the valiant king of Kashi, Purujit and Kuntibhoja and Saibya, the best of men.","Dhrishtaketu, Chekitana, and the valiant king of Kashi, Purujit and Kuntibhoja and Saibya, the best of men.",general,Bhagavad Gita
1,1.6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् । सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ १.६ ॥,"बलवान युधमन्यु और वीर उत्तमौज, सुभद्रा के पुत्र और द्रौपदी के पुत्र, वे सभी, मंडल सेनापति।","The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra and the sons of Draupadi, all of them, divisional commanders.","The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra and the sons of Draupadi, all of them, divisional commanders.",general,Bhagavad Gita
1,1.7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम । नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥ १.७ ॥,"हे ब्राह्मणश्रेष्ठ ! अपने पक्ष में भी जो प्रधान हैं, उनको आप समझ लीजिये । आपकी जानकारी के लिये मेरी सेना के जो-जो सेनापति हैं, उनको बतलाता हूँ ।","Duryodhana spoke unto his master Drona: O Best of the twice born, I name all of those who are our distinguished Chiefs, the leaders of my army, of your information only.","Duryodhana spoke unto his master Drona: O Best of the twice born, I name all of those who are our distinguished Chiefs, the leaders of my army, of your information only.",general,Bhagavad Gita
1,1.8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः । अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ १.८ ॥,"आप —– द्रोणाचार्य और पितामह भीष्म तथा कर्ण और संग्रामविजयी कृपाचार्य तथा वैसे ही अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र भूरिश्रवा ।","Your wise self, BHISMA, KARNA, KRIPA, the victorious in fight; ASVATTHAMA, VIKARNA and SAUMADATTI as well.","Your wise self, BHISMA, KARNA, KRIPA, the victorious in fight; ASVATTHAMA, VIKARNA and SAUMADATTI as well.",motivation,Bhagavad Gita
1,1.9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः । नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ १.९ ॥,और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं ।,"Duryodhana further said to Drona: Yet several other heroes and great men, well-trained in combat, armed with assorted powerful weapons and missiles, are ready to lay down their lives for me!","Duryodhana further said to Drona: Yet several other heroes and great men, well-trained in combat, armed with assorted powerful weapons and missiles, are ready to lay down their lives for me!",general,Bhagavad Gita
1,1.11,अयनेषु च सर्वेषु यथाभागमवस्थिताः । भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥ १.११ ॥,इसलिये सब मोर्चों पर अपनी-अपनी जगह स्थित रहते हुए आप लोग सभी नि:संदेह भीष्मपितामह की सब और से रक्षा करें ।,"Duryodhana instructed his army: Now all of you quickly assume your proper positions for battle, your main goal being to protect and fight alongside BHISMA, your leader, by all means.","Duryodhana instructed his army: Now all of you quickly assume your proper positions for battle, your main goal being to protect and fight alongside BHISMA, your leader, by all means.",motivation,Bhagavad Gita
1,1.12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः । सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ॥ १.१२ ॥,कोरवों में वृद्ब बड़े प्रतापी पितामह भीष्म ने उस दुर्योधन के ह्रदय में हर्ष उत्पन्न करते हुए उच्च स्वर से सिंह की दहाड़ के समान गरजकर शंख बजाया ।,"To bring joy to DURYODHANA’s heart, the great grandsire BHISMA, the oldest and most famous of the KAURAVAS, roared loudly like a lion (a battle-cry), and blew his conch to signal the army to advance towards the enemy.","To bring joy to DURYODHANA’s heart, the great grandsire BHISMA, the oldest and most famous of the KAURAVAS, roared loudly like a lion (a battle-cry), and blew his conch to signal the army to advance towards the enemy.",happiness,Bhagavad Gita
1,1.13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः । सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥ १.१३ ॥,"इसके पश्चात् शंख और नगारे तथा ढोल, मृदंग और नरसिंघे आदि बाजे एक साथ ही बज उठे । उनका वह शब्द बड़ा भयंकर हुआ ।","Tremendous noise followed. Conches, kettle-drums, tabors, and trumpets and cowhorns blared across the battlefield.","Tremendous noise followed. Conches, kettle-drums, tabors, and trumpets and cowhorns blared across the battlefield.",general,Bhagavad Gita
1,1.14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ । माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥ १.१४ ॥,इसके अनन्तर सफेद घोडों से युक्त्त उत्तम रथ में बैठे हुए श्रीकृष्ण महाराज और अर्जुन ने भी अलौकिक शंख बजाये ।,MADHAVA (Lord Krishna) and PANDAVA were seated in their magnificent chariote attached to white horses and they blew gracefully their divine conches.,MADHAVA (Lord Krishna) and PANDAVA were seated in their magnificent chariote attached to white horses and they blew gracefully their divine conches.,general,Bhagavad Gita
1,1.15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः । पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥ १.१५ ॥,"श्रीकृष्ण महाराज ने पाञ्चजन्य-नामक, अर्जुन ने देवदत्त-नामक और भयानक कर्मवाले भीमसेन ने पौण्ड्र-नामक महाशंख बजाया ।",The PANCHAJANYA (the name of one of the conches) was blown by HRISHIKESA (Lord Krishna). The conch named DEVADATTA was blown by DHANANJAYA (Arjuna).,The PANCHAJANYA (the name of one of the conches) was blown by HRISHIKESA (Lord Krishna). The conch named DEVADATTA was blown by DHANANJAYA (Arjuna).,general,Bhagavad Gita
1,1.16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः । नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥ १.१६ ॥,कुन्तीपुत्र राजा युधिष्ठिर ने अनन्तविजय-नामक और नकुल तथा सहदेव ने सुघोष और मणिपुष्पक नामक शंख बजाये ।,The King YUDISHTHIRA. the son of KUNTI blew the great conch called ANANTAVIYAYA: NAKUL and  SAHDEV blew SUGHOSHA and MANIPUSHPAKA (also names of conches).,The King YUDISHTHIRA. the son of KUNTI blew the great conch called ANANTAVIYAYA: NAKUL and  SAHDEV blew SUGHOSHA and MANIPUSHPAKA (also names of conches).,general,Bhagavad Gita
1,1.17,काश्यश्च परमेष्वासः शिखण्डी च महारथः । धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ॥ १.१७ ॥,"श्रेष्ठ धनुषवाले काशिराज और महारथी शिखण्डी एवं धृष्टधुम्न तथा राजा विराट और अजेय सात्यकि राजा द्रु पद एवं द्रौपदी के पाँचो पुत्र और बड़ी भुजावाले सुभद्रापुत्र अभिमन्यु —- इन सभी ने, हे राजन् ! सब ओर से अलग-अलग शंख बजाये ।","Several conches were also blown by: The ruler of KASI. the great warrior SIKHANDI, DHRSTHTADYUMNA, VIRATA, and SATYAKI, the invincible. DRUPADA and the sons of DRAUPADI, and the mighty armed son of SUBHADRA also blew their several conches.","Several conches were also blown by: The ruler of KASI. the great warrior SIKHANDI, DHRSTHTADYUMNA, VIRATA, and SATYAKI, the invincible. DRUPADA and the sons of DRAUPADI, and the mighty armed son of SUBHADRA also blew their several conches.",general,Bhagavad Gita
1,1.18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते । सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ॥ १.१८ ॥,"द्रुपद और द्रौपदी के पुत्रों, हे पृथ्वी के भगवान, और सुभद्रा के पुत्र, शक्तिशाली सशस्त्र, ने अपने-अपने शंख उड़ा दिए।","Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty armed, blew their respective conches.","Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty armed, blew their respective conches.",general,Bhagavad Gita
1,1.19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् । नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् ॥ १.१९ ॥,और उस भयानक शब्द ने आकाश और पृथ्वी-को भी गुँजाते हुए धार्तराष्ट्रों के अर्थात् आपके पक्षवालों के ह्रदय विदीर्ण कर दिये ।,The earth and sky was filled with the extremely loud and terrible noise of the PANDAVAS’ bugles and voices which struck fear in the hearts of the KAURAVAS (the sons of Dhrtarashtra).,The earth and sky was filled with the extremely loud and terrible noise of the PANDAVAS’ bugles and voices which struck fear in the hearts of the KAURAVAS (the sons of Dhrtarashtra).,anxiety,Bhagavad Gita
1,1.21,हृषीकेशं तदा वाक्यमिदमाह महीपते |अर्जुन उवाच |सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ॥ १.२१ ॥,"अर्जुन ने कहा: ""दोनों सेनाओं के बीच में, मेरा रथ, हे अच्युत, रखें, ताकि मैं उन लोगों को देख सकूं जो यहां युद्ध करने के इच्छुक हैं और इस युद्ध की पूर्व संध्या पर, मुझे बताएं कि मुझे किसके साथ लड़ना है।","Arjuna said: In the midst of the two armies, place my chariot, O Achyuta, that I may behold those who stand here desirous of fighting and, on the eve of this battle, let me know with whom I must fight.","Arjuna said: In the midst of the two armies, place my chariot, O Achyuta, that I may behold those who stand here desirous of fighting and, on the eve of this battle, let me know with whom I must fight.",motivation,Bhagavad Gita
1,1.22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् | कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ॥ १.२२ ॥,"और जब तक की मैं युद्धक्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लू कि इस युद्ध रूप व्यापार में मुझे किन-किनके साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये ।","Place my chariot, O ACHYUTA (Lord Krishna) between the two armies so that I may see those who wish to fight for us and also to see who I have to fight against, in this war.","Place my chariot, O ACHYUTA (Lord Krishna) between the two armies so that I may see those who wish to fight for us and also to see who I have to fight against, in this war.",motivation,Bhagavad Gita
1,1.23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः । धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥ १.२३ ...,"दुर्बुद्भि दुर्योधन का युद्ध में हित चाहनेवाले जो-जो ये राजा लोग इस सेना में आये हैं, इन युद्ध करनेवालों कों मैं देखूंगा ।",I desire to see all of those great warrior kings who have gathered here to fight alongside the evil-minded DURYODHANA (son of Dhrtarashtra).,I desire to see all of those great warrior kings who have gathered here to fight alongside the evil-minded DURYODHANA (son of Dhrtarashtra).,motivation,Bhagavad Gita
1,1.24,सञ्जय उवाच । एवमुक्तो हृषीकेशो गुडाकेशेन भारत सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥ १.२४ ॥,संजय बोले —– हे धृतराष्ट्र ! अर्जुन द्वारा इस प्रकार कहे हुए महाराज श्रीकृष्णचन्द्र ने दोनों सेनाओं के बीच में भीष्म और द्रोणाचार्य के सामने तथा सम्पूर्ण राजाओं के सामने उत्तम रथ को खड़ा कर के इस प्रकार कहा की हे पार्थ ! युद्ध के लिये जुटे हुए इन कौरवों को देख ।,"Sanjaya continued: After being requested by GUDAKESA (Arjun), HRISHIKESA (Lord Krishna), placed ARJUN’s magnificent chariot between the armies. The chariot was now facing BHISMA, the Guru DRONA, and all the rulers of the earth; then Lord KRISHNA spoke to ARJUNA: “O, PARTHA (Arjuna), see yourself all of the KAURAVAS assembled here on the battlefield today.”","Sanjaya continued: After being requested by GUDAKESA (Arjun), HRISHIKESA (Lord Krishna), placed ARJUN’s magnificent chariot between the armies. The chariot was now facing BHISMA, the Guru DRONA, and all the rulers of the earth; then Lord KRISHNA spoke to ARJUNA: “O, PARTHA (Arjuna), see yourself all of the KAURAVAS assembled here on the battlefield today.”",general,Bhagavad Gita
1,1.25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् । उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ॥ १.२५ ॥,"भीष्म और द्रोण और पृथ्वी के सभी शासकों के सामने उन्होंने कहा, हे पार्थ, देखो ये कुरु एक साथ इकट्ठे हुए।","In front of Bhishma and Drona, and all the rulers of the earth, he said, O Partha, behold these Kurus gathered together.","In front of Bhishma and Drona, and all the rulers of the earth, he said, O Partha, behold these Kurus gathered together.",general,Bhagavad Gita
1,1.26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा श्वश...॥ 26 ॥,"इसके बाद पृथापुत्र अर्जुन ने उन दोनों ही सेनाओं में स्थित ताऊ-चाचों को, दादों-परदादों को, गुरुओं को, मामाओं को, भाइयों-पुत्रों को, पौत्रों को तथा मित्रों को, ससुरों को और सुह्रदों को भी देखा  उन उपस्थित सम्पूर्ण बन्धुओं को देखकर वे कुन्तीपुत्र अर्जुन अत्यन्त करुणा से युक्त्त होकर शोक करते हुए यह वचन बोले ।","ARJUNA, gazed upon the army and then saw in both armies, paternal uncles, grandfathers, teachers, maternal uncles, cousins, sons, grandsons, friends, fathers-in-law, and well-wishers. The son of KUNTI (Arjuna), after viewing all of those relatives and friends posted in their positions on the battlefield, became melancholy and filled with compassion (love) for his relatives, and spoke in a sad voice:","ARJUNA, gazed upon the army and then saw in both armies, paternal uncles, grandfathers, teachers, maternal uncles, cousins, sons, grandsons, friends, fathers-in-law, and well-wishers. The son of KUNTI (Arjuna), after viewing all of those relatives and friends posted in their positions on the battlefield, became melancholy and filled with compassion (love) for his relatives, and spoke in a sad voice:",general,Bhagavad Gita
1,1.27,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि | तान्समीक्ष्य स कौन्तेय: सर्वान्बन्धूनवस्थितान् ॥ १.२७ ॥,"(उसने देखा) दोनों सेनाओं में ससुर और दोस्त भी। तब कुंती के पुत्र ने इन सब सगे-संबंधियों को इस प्रकार खड़े देखकर, इस प्रकार दुःखी होकर, गहरी दया से भरपूर बात की।","(He saw) Fathers-in-law and friends also in both the armies. Then the son of Kunti, seeing all these kinsmen thus standing arrayed, spoke thus sorrowfully, filled with deep pity.","(He saw) Fathers-in-law and friends also in both the armies. Then the son of Kunti, seeing all these kinsmen thus standing arrayed, spoke thus sorrowfully, filled with deep pity.",motivation,Bhagavad Gita
1,1.28,कृपया परयाविष्टो विषीदन्निदमब्रवीत् | अर्जुन उवाच | दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ,अर्जुन बोले —– हे कृष्ण ! युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इस स्वजनसमुदाय को देखकर मेरे अंग शिथिल हुए जा रहे हैं और मुख सूखा जा रहा है तथा मेरे शरीर में कम्प एवं रोमांच हो रहा है ।,"Arjuna said: O KRISHNA, seeing my kinsmen (relatives) standing before me to fight against me in this war, I find myself unable to move my body, and my mouth has become parched. He continued: I have no longer any control over my body; my hair stands on end. I cannot control my bow GANDIVA, and my skin burns all over.","Arjuna said: O KRISHNA, seeing my kinsmen (relatives) standing before me to fight against me in this war, I find myself unable to move my body, and my mouth has become parched. He continued: I have no longer any control over my body; my hair stands on end. I cannot control my bow GANDIVA, and my skin burns all over.",motivation,Bhagavad Gita
1,1.29,वेपथुश्च शरीरे मे रोमहर्षश्च जायते । गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते ॥ १.२९ ॥,"मेरे अंग विफल हो जाते हैं और मेरा मुंह सूख जाता है, मेरा शरीर तरकश करता है और मेरे बाल अंत में खड़े होते हैं।","My limbs fail and my mouth is parched, my body quivers and my hair stands on end.","My limbs fail and my mouth is parched, my body quivers and my hair stands on end.",motivation,Bhagavad Gita
1,1.31,न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे । न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च ॥ १.३१ ॥,हे केशव ! मैं लक्षणों को भी विपरीत ही देख रहा हूँ तथा युद्ध में स्वजन-समुदाय को मारकर कल्याण भी नहीं देखता ।,"I cannot see any good in slaughtering and killing my friends and relatives in battle. O KRISHNA, I have no use nor desire for victory, empire or even materialistic pleasures.","I cannot see any good in slaughtering and killing my friends and relatives in battle. O KRISHNA, I have no use nor desire for victory, empire or even materialistic pleasures.",motivation,Bhagavad Gita
1,1.32,किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा । येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च ॥ १.३२ ...,हे कृष्ण ! मैं न तो विजय चाहता हूँ और न राज्य तथा सुखों को ही । हे गोविन्द ! हमें ऐसे राज्य से क्या प्रयोजन है अथवा ऐसे भोगों से और जीवन से भी क्या लाभ है ?,"O GOVINDA, (Krishna), what in the use of a kindgom, enjoyment or even life?","O GOVINDA, (Krishna), what in the use of a kindgom, enjoyment or even life?",happiness,Bhagavad Gita
1,1.33,येषामर्थे काङ्क्षितं नो राज्यं भोगा: सुखानि च | त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च  ॥ १.३३ ॥,"हमें जिनके लिये राज्य, भोग और सुखादिं अभीष्ट हैं, वे ही ये सब धन और जीवन की आशा को त्याग कर युद्ध में खड़े हैं ।","Those whom we seek these pleasures from (the enjoyment of kingdom), are standing before us staking their lives and property, possessions which I have no desire for.","Those whom we seek these pleasures from (the enjoyment of kingdom), are standing before us staking their lives and property, possessions which I have no desire for.",motivation,Bhagavad Gita
1,1.34,आचार्या: पितर: पुत्रास्तथैव च पितामहा: | मातुला: श्वशुरा: पौत्रा: श्याला: सम्बन्धिनस्तथा॥ १.३४ ॥,"गुरुजन, ताऊ-चाचे, लड़के और उसी प्रकार दादे, मामे, ससुर, पौत्र, साले तथा और भी सम्बन्धी लोग हैं ।","O Lord KRISHNA, I do not want to kill my teachers, uncles, friends, fathers-in-law, grandsons, brothers-in-law, and other relatives and well-wishers.","O Lord KRISHNA, I do not want to kill my teachers, uncles, friends, fathers-in-law, grandsons, brothers-in-law, and other relatives and well-wishers.",general,Bhagavad Gita
