text,emotion,type
don't know what to do,confusion,pattern
don't know what to do?,confusion,pattern
Very don't know what to do,confusion,pattern
समझ नहीं आ रहा,confusion,pattern
समझ नहीं आ रहा?,confusion,pattern
Very समझ नहीं आ रहा,confusion,pattern
feeling lost in life,confusion,pattern
feeling lost in life?,confusion,pattern
Very feeling lost in life,confusion,pattern
can't decide which way,confusion,pattern
can't decide which way?,confusion,pattern
Very can't decide which way,confusion,pattern
सही रास्ता क्या है,confusion,pattern
सही रास्ता क्या है?,confusion,pattern
Very सही रास्ता क्या है,confusion,pattern
uncertain about future,confusion,pattern
uncertain about future?,confusion,pattern
Very uncertain about future,confusion,pattern
need clarity,confusion,pattern
need clarity?,confusion,pattern
Very need clarity,confusion,pattern
निर्णय नहीं ले पा रहा,confusion,pattern
निर्णय नहीं ले पा रहा?,confusion,pattern
Very निर्णय नहीं ले पा रहा,confusion,pattern
feeling happy today,happiness,pattern
feeling happy today?,happiness,pattern
Very feeling happy today,happiness,pattern
life is wonderful,happiness,pattern
life is wonderful?,happiness,pattern
Very life is wonderful,happiness,pattern
बहुत खुश हूँ,happiness,pattern
बहुत खुश हूँ?,happiness,pattern
Very बहुत खुश हूँ,happiness,pattern
joyful and content,happiness,pattern
joyful and content?,happiness,pattern
Very joyful and content,happiness,pattern
grateful for everything,happiness,pattern
grateful for everything?,happiness,pattern
Very grateful for everything,happiness,pattern
आज बहुत अच्छा दिन है,happiness,pattern
आज बहुत अच्छा दिन है?,happiness,pattern
Very आज बहुत अच्छा दिन है,happiness,pattern
in a great mood,happiness,pattern
in a great mood?,happiness,pattern
Very in a great mood,happiness,pattern
blessed and happy,happiness,pattern
blessed and happy?,happiness,pattern
Very blessed and happy,happiness,pattern
खुशी से भर गया हूँ,happiness,pattern
खुशी से भर गया हूँ?,happiness,pattern
Very खुशी से भर गया हूँ,happiness,pattern
how to live well,general,pattern
how to live well?,general,pattern
Very how to live well,general,pattern
seeking spiritual wisdom,general,pattern
seeking spiritual wisdom?,general,pattern
Very seeking spiritual wisdom,general,pattern
जीवन कैसे जियूँ,general,pattern
जीवन कैसे जियूँ?,general,pattern
Very जीवन कैसे जियूँ,general,pattern
guide me on my path,general,pattern
guide me on my path?,general,pattern
Very guide me on my path,general,pattern
need life advice,general,pattern
need life advice?,general,pattern
Very need life advice,general,pattern
आध्यात्मिक मार्गदर्शन चाहिए,general,pattern
आध्यात्मिक मार्गदर्शन चाहिए?,general,pattern
Very आध्यात्मिक मार्गदर्शन चाहिए,general,pattern
what is the meaning of life,general,pattern
what is the meaning of life?,general,pattern
Very what is the meaning of life,general,pattern
inner peace,general,pattern
inner peace?,general,pattern
Very inner peace,general,pattern
मानसिक शांति कैसे पाऊँ,general,pattern
मानसिक शांति कैसे पाऊँ?,general,pattern
Very मानसिक शांति कैसे पाऊँ,general,pattern
"तुम्हें केवल कर्म करने का अधिकार है, फलों में कभी नहीं",stress,verse
"You have right to perform actions, never to fruits of actions",stress,verse
"संतुलित आहार, विहार, कर्म और नींद वाला व्यक्ति",stress,verse
"One with balanced eating, sleeping, work and recreation",stress,verse
"सर्दी-गर्मी, सुख-दुःख तो आने-जाने वाले हैं",stress,verse
"Cold-heat, pleasure-pain are temporary, O Arjuna",stress,verse
"दुःख में जो विचलित नहीं होता, सुख में जो आसक्त नहीं",anxiety,verse
"One not disturbed in misery, nor attached to happiness",anxiety,verse
"हे अर्जुन, मन चंचल है परंतु अभ्यास से वश में हो सकता है",anxiety,verse
"Mind is restless but can be controlled by practice, O Arjuna",anxiety,verse
संशयग्रस्त व्यक्ति न तो इस लोक में सुखी होता है न परलोक में,anxiety,verse
The doubting soul has no happiness in this world or next,anxiety,verse
"हे पार्थ, कायरता मत दिखाओ, यह तुझे शोभा नहीं देती",motivation,verse
"Do not yield to unmanliness, O Arjuna, it does not become you",motivation,verse
इसलिए तू उठ खड़ा हो और यश प्राप्त कर,motivation,verse
Therefore arise and attain glory,motivation,verse
"श्रेष्ठ व्यक्ति जैसा करता है, दूसरे वैसा ही करते हैं",motivation,verse
"Whatever a great man does, others follow",motivation,verse
"नम्रता से पूछो, सेवा करो, ज्ञानी से सीखो",confusion,verse
Learn from wise by humble inquiry and service,confusion,verse
ईश्वर सबके हृदय में विराजमान है,confusion,verse
The Lord is situated in everyone's heart,confusion,verse
"जो निरंतर मुझसे प्रेम से जुड़े हैं, उन्हें मैं ज्ञान देता हूँ",confusion,verse
"To those constantly devoted with love, I give understanding",confusion,verse
"जो बाहरी सुखों में आसक्त नहीं, वह आत्मा में सुख पाता है",happiness,verse
One not attached to external pleasures finds happiness within,happiness,verse
शांत मन वाला योगी परम सुख पाता है,happiness,verse
The yogi with peaceful mind attains highest happiness,happiness,verse
"जो खाना आयु, बल, सेहत और खुशी बढ़ाएं",general,verse
"Foods that increase life, strength, health and happiness",general,verse
"विनम्रता, अहिंसा, धैर्य और सरलता - यही ज्ञान है",general,verse
"Humility, non-violence, patience, simplicity - these are knowledge",general,verse
"योग में स्थित होकर कर्म करो, आसक्ति छोड़कर",general,verse
"Perform actions staying in yoga, abandoning attachment",general,verse
"धृतराष्ट्र बोले- हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छावाले मेरे और पाण्डु के पुत्रों ने क्या किया?",general,verse
"Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings.",general,verse
संजय बोले- उस समय राजा दुर्योधन ने व्यूहरचनायुक्त पाण्डवों की सेना को देखा और द्रोणाचार्य के पास जाकर यह वचन कहा|,general,verse
"Sanjaya explained: Now seeing that the army of the PANDAVAS was set up properly, the Price DURYODHANA called his teacher, DRONA, to his side and spoke these words:",general,verse
हे आचार्य! आपके बुद्धिमान्‌ शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डुपुत्रों की इस बड़ी भारी सेना को देखिए|,general,verse
"Behold O, Master, the mighty army of the sons of PANDU, led by the son of DRUPADA, your talented disciple.",general,verse
"इस सेना में बड़े-बड़े धनुषों वाले तथा युद्ध में भीम और अर्जुन के समान शूरवीर सात्यकि और विराट तथा महारथी राजा द्रुपद, धृष्टकेतु और चेकितान तथा बलवान काशिराज, पुरुजित, कुन्तिभोज और मनुष्यों में श्रेष्ठ",motivation,verse
"Present here are the mighty archers, peers or friends, in warfare, of ARJUNA and BHIMA. Their names are: YUYUDHANA, VIRATA and DRUPADA, the great chariot-warrior. Other great warriors were also presen",motivation,verse
"धृष्टकेतु, चेकिताना, और काशी के बहादुर राजा, पुरुजीत और कुंतीभोज और सैब्य, सबसे अच्छे पुरुष।",general,verse
"Dhrishtaketu, Chekitana, and the valiant king of Kashi, Purujit and Kuntibhoja and Saibya, the best of men.",general,verse
"बलवान युधमन्यु और वीर उत्तमौज, सुभद्रा के पुत्र और द्रौपदी के पुत्र, वे सभी, मंडल सेनापति।",general,verse
"The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra and the sons of Draupadi, all of them, divisional commanders.",general,verse
"हे ब्राह्मणश्रेष्ठ ! अपने पक्ष में भी जो प्रधान हैं, उनको आप समझ लीजिये । आपकी जानकारी के लिये मेरी सेना के जो-जो सेनापति हैं, उनको बतलाता हूँ ।",general,verse
"Duryodhana spoke unto his master Drona: O Best of the twice born, I name all of those who are our distinguished Chiefs, the leaders of my army, of your information only.",general,verse
"आप —– द्रोणाचार्य और पितामह भीष्म तथा कर्ण और संग्रामविजयी कृपाचार्य तथा वैसे ही अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र भूरिश्रवा ।",motivation,verse
"Your wise self, BHISMA, KARNA, KRIPA, the victorious in fight; ASVATTHAMA, VIKARNA and SAUMADATTI as well.",motivation,verse
और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं ।,general,verse
"Duryodhana further said to Drona: Yet several other heroes and great men, well-trained in combat, armed with assorted powerful weapons and missiles, are ready to lay down their lives for me!",general,verse
इसलिये सब मोर्चों पर अपनी-अपनी जगह स्थित रहते हुए आप लोग सभी नि:संदेह भीष्मपितामह की सब और से रक्षा करें ।,motivation,verse
"Duryodhana instructed his army: Now all of you quickly assume your proper positions for battle, your main goal being to protect and fight alongside BHISMA, your leader, by all means.",motivation,verse
कोरवों में वृद्ब बड़े प्रतापी पितामह भीष्म ने उस दुर्योधन के ह्रदय में हर्ष उत्पन्न करते हुए उच्च स्वर से सिंह की दहाड़ के समान गरजकर शंख बजाया ।,happiness,verse
"To bring joy to DURYODHANA’s heart, the great grandsire BHISMA, the oldest and most famous of the KAURAVAS, roared loudly like a lion (a battle-cry), and blew his conch to signal the army to advance t",happiness,verse
"इसके पश्चात् शंख और नगारे तथा ढोल, मृदंग और नरसिंघे आदि बाजे एक साथ ही बज उठे । उनका वह शब्द बड़ा भयंकर हुआ ।",general,verse
"Tremendous noise followed. Conches, kettle-drums, tabors, and trumpets and cowhorns blared across the battlefield.",general,verse
इसके अनन्तर सफेद घोडों से युक्त्त उत्तम रथ में बैठे हुए श्रीकृष्ण महाराज और अर्जुन ने भी अलौकिक शंख बजाये ।,general,verse
MADHAVA (Lord Krishna) and PANDAVA were seated in their magnificent chariote attached to white horses and they blew gracefully their divine conches.,general,verse
"श्रीकृष्ण महाराज ने पाञ्चजन्य-नामक, अर्जुन ने देवदत्त-नामक और भयानक कर्मवाले भीमसेन ने पौण्ड्र-नामक महाशंख बजाया ।",general,verse
The PANCHAJANYA (the name of one of the conches) was blown by HRISHIKESA (Lord Krishna). The conch named DEVADATTA was blown by DHANANJAYA (Arjuna).,general,verse
कुन्तीपुत्र राजा युधिष्ठिर ने अनन्तविजय-नामक और नकुल तथा सहदेव ने सुघोष और मणिपुष्पक नामक शंख बजाये ।,general,verse
The King YUDISHTHIRA. the son of KUNTI blew the great conch called ANANTAVIYAYA: NAKUL and  SAHDEV blew SUGHOSHA and MANIPUSHPAKA (also names of conches).,general,verse
"श्रेष्ठ धनुषवाले काशिराज और महारथी शिखण्डी एवं धृष्टधुम्न तथा राजा विराट और अजेय सात्यकि राजा द्रु पद एवं द्रौपदी के पाँचो पुत्र और बड़ी भुजावाले सुभद्रापुत्र अभिमन्यु —- इन सभी ने, हे राजन् ! सब ओर स",general,verse
"Several conches were also blown by: The ruler of KASI. the great warrior SIKHANDI, DHRSTHTADYUMNA, VIRATA, and SATYAKI, the invincible. DRUPADA and the sons of DRAUPADI, and the mighty armed son of SU",general,verse
"द्रुपद और द्रौपदी के पुत्रों, हे पृथ्वी के भगवान, और सुभद्रा के पुत्र, शक्तिशाली सशस्त्र, ने अपने-अपने शंख उड़ा दिए।",general,verse
"Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty armed, blew their respective conches.",general,verse
और उस भयानक शब्द ने आकाश और पृथ्वी-को भी गुँजाते हुए धार्तराष्ट्रों के अर्थात् आपके पक्षवालों के ह्रदय विदीर्ण कर दिये ।,anxiety,verse
The earth and sky was filled with the extremely loud and terrible noise of the PANDAVAS’ bugles and voices which struck fear in the hearts of the KAURAVAS (the sons of Dhrtarashtra).,anxiety,verse
"अर्जुन ने कहा: ""दोनों सेनाओं के बीच में, मेरा रथ, हे अच्युत, रखें, ताकि मैं उन लोगों को देख सकूं जो यहां युद्ध करने के इच्छुक हैं और इस युद्ध की पूर्व संध्या पर, मुझे बताएं कि मुझे किसके साथ लड़ना है।",motivation,verse
"Arjuna said: In the midst of the two armies, place my chariot, O Achyuta, that I may behold those who stand here desirous of fighting and, on the eve of this battle, let me know with whom I must fight",motivation,verse
"और जब तक की मैं युद्धक्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लू कि इस युद्ध रूप व्यापार में मुझे किन-किनके साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये ।",motivation,verse
"Place my chariot, O ACHYUTA (Lord Krishna) between the two armies so that I may see those who wish to fight for us and also to see who I have to fight against, in this war.",motivation,verse
"दुर्बुद्भि दुर्योधन का युद्ध में हित चाहनेवाले जो-जो ये राजा लोग इस सेना में आये हैं, इन युद्ध करनेवालों कों मैं देखूंगा ।",motivation,verse
I desire to see all of those great warrior kings who have gathered here to fight alongside the evil-minded DURYODHANA (son of Dhrtarashtra).,motivation,verse
संजय बोले —– हे धृतराष्ट्र ! अर्जुन द्वारा इस प्रकार कहे हुए महाराज श्रीकृष्णचन्द्र ने दोनों सेनाओं के बीच में भीष्म और द्रोणाचार्य के सामने तथा सम्पूर्ण राजाओं के सामने उत्तम रथ को खड़ा कर के इस प्रक,general,verse
"Sanjaya continued: After being requested by GUDAKESA (Arjun), HRISHIKESA (Lord Krishna), placed ARJUN’s magnificent chariot between the armies. The chariot was now facing BHISMA, the Guru DRONA, and a",general,verse
"भीष्म और द्रोण और पृथ्वी के सभी शासकों के सामने उन्होंने कहा, हे पार्थ, देखो ये कुरु एक साथ इकट्ठे हुए।",general,verse
"In front of Bhishma and Drona, and all the rulers of the earth, he said, O Partha, behold these Kurus gathered together.",general,verse
"इसके बाद पृथापुत्र अर्जुन ने उन दोनों ही सेनाओं में स्थित ताऊ-चाचों को, दादों-परदादों को, गुरुओं को, मामाओं को, भाइयों-पुत्रों को, पौत्रों को तथा मित्रों को, ससुरों को और सुह्रदों को भी देखा  उन उपस्थ",general,verse
"ARJUNA, gazed upon the army and then saw in both armies, paternal uncles, grandfathers, teachers, maternal uncles, cousins, sons, grandsons, friends, fathers-in-law, and well-wishers. The son of KUNTI",general,verse
"(उसने देखा) दोनों सेनाओं में ससुर और दोस्त भी। तब कुंती के पुत्र ने इन सब सगे-संबंधियों को इस प्रकार खड़े देखकर, इस प्रकार दुःखी होकर, गहरी दया से भरपूर बात की।",motivation,verse
"(He saw) Fathers-in-law and friends also in both the armies. Then the son of Kunti, seeing all these kinsmen thus standing arrayed, spoke thus sorrowfully, filled with deep pity.",motivation,verse
अर्जुन बोले —– हे कृष्ण ! युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इस स्वजनसमुदाय को देखकर मेरे अंग शिथिल हुए जा रहे हैं और मुख सूखा जा रहा है तथा मेरे शरीर में कम्प एवं रोमांच हो रहा है ।,motivation,verse
"Arjuna said: O KRISHNA, seeing my kinsmen (relatives) standing before me to fight against me in this war, I find myself unable to move my body, and my mouth has become parched. He continued: I have no",motivation,verse
"मेरे अंग विफल हो जाते हैं और मेरा मुंह सूख जाता है, मेरा शरीर तरकश करता है और मेरे बाल अंत में खड़े होते हैं।",motivation,verse
"My limbs fail and my mouth is parched, my body quivers and my hair stands on end.",motivation,verse
हे केशव ! मैं लक्षणों को भी विपरीत ही देख रहा हूँ तथा युद्ध में स्वजन-समुदाय को मारकर कल्याण भी नहीं देखता ।,motivation,verse
"I cannot see any good in slaughtering and killing my friends and relatives in battle. O KRISHNA, I have no use nor desire for victory, empire or even materialistic pleasures.",motivation,verse
हे कृष्ण ! मैं न तो विजय चाहता हूँ और न राज्य तथा सुखों को ही । हे गोविन्द ! हमें ऐसे राज्य से क्या प्रयोजन है अथवा ऐसे भोगों से और जीवन से भी क्या लाभ है ?,happiness,verse
"O GOVINDA, (Krishna), what in the use of a kindgom, enjoyment or even life?",happiness,verse
"हमें जिनके लिये राज्य, भोग और सुखादिं अभीष्ट हैं, वे ही ये सब धन और जीवन की आशा को त्याग कर युद्ध में खड़े हैं ।",motivation,verse
"Those whom we seek these pleasures from (the enjoyment of kingdom), are standing before us staking their lives and property, possessions which I have no desire for.",motivation,verse
"गुरुजन, ताऊ-चाचे, लड़के और उसी प्रकार दादे, मामे, ससुर, पौत्र, साले तथा और भी सम्बन्धी लोग हैं ।",general,verse
"O Lord KRISHNA, I do not want to kill my teachers, uncles, friends, fathers-in-law, grandsons, brothers-in-law, and other relatives and well-wishers.",general,verse
"हे मधुसूदन ! मुझे मारने पर भी अथवा तीनों लोकों के राज्य के लिये भी मैं इन सबको मारना नहीं चाहता, फिर पृथ्वी के लिये तो कहना ही क्या है ?",general,verse
Arjuna spoke to the Lord Madhusudhana (Lord Krishna): I could not slay (kill) my relatives even if I had to give my own life away. I could not slay them even for domination of the three worlds; how co,general,verse
अतएव हे माधव ! अपने ही बान्धव धृतराष्ट्र के पुत्रों को मारने के लिये हम योग्य नहीं हैं ; क्योंकि अपने ही कुटुम्ब को मारकर हम कैसे सुखी होंगे ।,happiness,verse
"O KRISHNA, why should we kill our own loved ones and kinsmen when no happiness or good can come out of so doing?",happiness,verse
"यधपि लोभ से भ्रष्टचित्त हुए ये लोग से कुल के नाश से उत्पन्न दोष को और मित्रों से विरोध करने में पाप को नहीं देखते, तो भी हे जनार्दन ! कुल के नाश से उत्पन्न दोष को जानने वाले हम लोगों को इस पाप से हटने",general,verse
"Greed has clouded the minds and overpowered the intelligence of the sons of DHRTARASHTRA and so they feel no guilt, and fail to see the sins they are commiting by betraying friends and destroying thei",general,verse
"हम, जो परिवार-इकाइयों के विनाश में स्पष्ट रूप से बुराई देखते हैं, इस पाप से दूर होना क्यों नहीं सीखना चाहिए, हे जनार्दन?",general,verse
"Why should not we, who clearly see evil in the destruction of the family-units, learn to turn away from this sin, O Janardana?",general,verse
"कुल के नाश से सनातन कुल-धर्म नष्ट हो जाते हैं, धर्म के नाश हो जाने पर सम्पूर्ण कुल में पाप भी बहुत फैल जाता है ।",general,verse
"Arjuna explained: When one begins to destroy his own family, then his ancient, respected traditions, customs, moral values, principles, are destroyed as well. By the destruction of these, the whole fa",general,verse
वर्णसंकर कुलघातियों को और कुल को नरक में ले जाने के लिये ही होता है । लुप्त हुई पिण्ड और जलकी क्रिया वाले अर्थात् श्राद्ब और तर्पण से वंचित इनके पितरलोग भी अधो गति को प्राप्त होते हैं|,general,verse
"By the mixture of castes, families will breed more family destroyers; being deprived of food and water, their ancestors will also fall from heaven.",general,verse
इन वर्णसंकरकारक दोषों से कुलघातियों के सनातन कुल धर्म और जाती-धर्म नष्ट हो जाते हैं|,confusion,verse
"The everlasting traditions, customs and principles of a caste are destroyed when different castes join together and create mixed-blood generations. This leads to confusion of a caste’s customs.",confusion,verse
"हे जनार्दन ! जिनका कुल-धर्म नष्ट हो गया है, ऐसे मनुष्यों का अनिश्चित काल तक नरक में वास होता है, ऐसा हम सुनते आये हैं ।",general,verse
"It has been heard, O JANARDHANA (Krishna) that hell is the permanent home for those men whose families’ religious practices have been broken and destroyed.",general,verse
"हा ! शोक ! हमलोग बुद्भिमान् होकर भी महान् पाप करने को तैयार हो गये हैं, जो राज्य और सुख के लोभ से स्वजनों को मारने के लिये उधत हो गये हैं|",motivation,verse
"Moreover, it is a great shame, that knowing and understanding everything, we are still ready to commit such a great sin of killing our kinsmen, just because of greed for kingdom and pleasures.",motivation,verse
यदि मुझ शस्त्ररहित एवं सामना न करने वाले को शस्त्र हाथ में लिये हुए धृतराष्ट्र के पुत्र रण में मार डालें तो वह मारना भी मेरे लिए अधिक कल्याणकारक होगा|,motivation,verse
"I think it would be better for me if the sons of DHRTARASHTRA slay me, with their weapons while I remain unarmed and unwilling to fight back",motivation,verse
"संजय बोले —– रणभूमि में शोकसे उद्भिग्नमन वाले  अर्जुन इस प्रकार कहकर, बाण सहित धनुष को त्याग कर रथ के पिछले भाग में बैठ गये ।",confusion,verse
"Sanjaya said: Having said this, ARJUNA, still extremely sad and confused sat on the seat of this chariot throwing away his bow and arrows.",confusion,verse
संजय बोले—उस प्रकार करुणासे व्याप्त और आँसुओंसे पूर्ण तथा व्याकुल नेत्रोंवाले शोकयुक्त उस अर्जुनके प्रति भगवान् मधुसूदनने यह वचन कहा|,general,verse
"Sanjay recounted: MADHUSUDANA (Lord Krishna) then spoke in his divine voice unto ARJUNA, who was terribly upset and overcome with grief and guilt at the thought of war he was about to enter into.",general,verse
"श्रीभगवान् बोले- हे अर्जुन ! तुझे इस असमयमें यह मोह किस हेतुसे प्राप्त हुआ ? क्योंकि न तो यह श्रेष्ठ पुरुषों द्वारा आचरित है, न स्वर्गको देनेवाला है और न कीर्तिको करनेवाला ही है|",anxiety,verse
"The Blessed Lord asked of Arjuna: Dear Arjuna, why have you been struck with fear, guilt and sorrow at this moment ?",anxiety,verse
"इसलिये हे अर्जुन ! नपुंसकताको मत प्राप्त हो, तुझमें यह उचित नहीं जान पड़ती। हे परंतप ! हृदयकी तुच्छ दुर्बलताको त्यागकर युद्धके लिये खड़ा हो जा|",motivation,verse
"O Arjuna, be brave, be a bold, courageous man.  Do not be a coward and a feeble person, it does not suit such a great warrior and killer of enemies as you !",motivation,verse
अर्जुन बोले– हे मधुसूदन ! मैं रणभूमिमें किस प्रकार बाणोंसे भीष्मपितामह और द्रोणाचार्यके विरुद्ध लडूगा ? क्योंकि हे अरिसूदन! वे दोनों ही पूजनीय हैं|,general,verse
"Arjuna asked the Lord: O Madhusudana (Lord Krishna), the killer of foes, tell me how I am to kill BHISMA and DRONA when they are both worthy of my worship ?",general,verse
इसलिये इन महानुभाव गुरुजनोंको न मारकर मैं इस लोकमें भिक्षाका अन्न भी खाना कल्याणकार समझता हूँ; क्योंकि गुरुजनोंको मारकर भी इस लोकमें रुधिरसे सने हुए अर्थ और कामरूप भोगोंको ही तो भोगँगा,happiness,verse
It is much better to live on a beggar’s earnings than to kill the great saints or Gurus.  After killing them I will only enjoy material wealth and pleasure stained with their blood.,happiness,verse
"हम यह भी नहीं जानते कि हमारे लिये युद्ध करना और न करना—इन दोनोंमेंसे कौन-सा श्रेष्ठ है, अथवा यह भी नहीं जानते कि उन्हें हम जीतेंगे या हमको वे जीतेंगे । और जिनको मारकर हम जीना भी नहीं चाहते, वे ही हमार",motivation,verse
The sons of DHRTARASHTA stand here before us as our opponents and enemies.  It is difficult to say which is better: whether they should destroy us or whether we should conquer the.  If we choose to sl,motivation,verse
"इसलिये कायरतारूप दोषसे उपहत हुए स्वभाववाला तथा धर्मके विषयमें मोहितचित्त हुआ मैं आपसे पूछता हूँ कि जो साधन निश्चित कल्याणकारक हो, वह मेरे लिये कहिये; क्योंकि मैं आपका शिष्य हूँ, इसलिये आपके शरण हुए मु",confusion,verse
"Please, Dear Lord, I am your disciple, kindly guide and instruct me, for I have taken refuge and shelter in you.I am confused as to my duties and what is good for me. I beg you to give me knowledge, w",confusion,verse
"क्योंकि भूमिमें निष्कण्टक, धन-धान्यसम्पन्न राज्यको और देवताओंके स्वामीपनेको प्राप्त होकर भी मैं उस उपायको नहीं देखता हूँ, जो मेरी इन्द्रियोंके सुखानेवाले शोकको दूर कर सके|",general,verse
"I cannot find any cure for the great great grief I suffer, O KRISHNA, even though by winning this war, I would achieve great power and rule over the earth and the heavens.",general,verse
संजय बोले – हे राजन् ! निद्राको जीतने – अर्जुन अन्तर्यामी श्रीकृष्ण महाराजके प्रति इस प्रकार कहकर फिर श्रीगोविन्दभगवान्से ‘युद्ध नहीं करूँगा’ यह स्पष्ट कहकर चुप हो गये|,motivation,verse
"Sanjaya said: Dear Dhrtarashtra, my great king, after addressing HRISHIKESHA (Lord of the senses).  GUDUKESHA (conqueror of sleep), and PARAMTAPAH (destroyer of all enemies), ARJUN spoke clearly to th",motivation,verse
"श्रीभगवान् बोले—हे अर्जुन ! तू न शोक करनेयोग्य मनुष्योंके लिये शोक करता है और पण्डितोंके से वचनोंको कहता है; परंतु जिनके प्राण चले गये हैं, उनके लिये और जिनके प्राण नहीं गये हैं उनके लिये भी पण्डितजन ",confusion,verse
"ARJUNA, you show your grief and compassion for those who do not deserve your grief, compassion or sympathy. Although your words are filled with wisdom, you must remember, the wise men never grieve for",confusion,verse
"न तो ऐसा ही है कि मैं किसी कालमें नहीं था, नहीं था अथवा ये राजालोग नहीं थे और न तू ऐसा ही है कि इससे आगे हम सब नहीं रहेंगे|",general,verse
"ARJUNA”, always remember, there has never been a time when you or any of the great warriors present here, were not alive or non-existent, nor will we all, at any time, cease to exist and live on in th",general,verse
"जैसे जीवात्माकी इस देहमें बालकपन, जवानी और वृद्धावस्था होती है, वैसे ही अन्य शरीरकी प्राप्ति होती है; उस विषयमें धीर पुरुष मोहित नहीं होता|",confusion,verse
"Lord Krishna continued:Dear ARJUNA, the wise never get confused by the fact that the ATMA or Soul goes through the stages of childhood, youth and old age along with the body. When one body ceases to f",confusion,verse
"हे कुन्तीपुत्र ! सर्दी-गर्मी और सुख दुःखको – देनेवाले इन्द्रिय और विषयोंके संयोग तो उत्पत्ति विनाशशील और अनित्य हैं, इसलिये हे भारत ! उनको तू सहन कर|",happiness,verse
